Algorithm: ES
Instance: products
Generations: 50
Number of bins used: 2
Number of items packed: 100
Final fitness: 2.6978665199835943

============================================================
Detailed Packing Solution:
============================================================

  id    bin-loc    orientation    x    y    z    x'    y'    z'    weight
----  ---------  -------------  ---  ---  ---  ----  ----  ----  --------
  72          1              4    0    0    0   478   127   379         2
  66          1              1  478    0    0   216   316   159         5
  84          1              2  694    0    0   269   185   367        44
   2          1              4  478  316    0   534   229   372        41
  31          1              4    0  127    0   282   256   171         3
  75          1              2    0  383    0   252   191   347        81
  27          1              5  963    0    0    93   231   323       297
  78          1              4  478  545    0   254   299   195         3
   9          1              3  732  545    0   409   291   165         2
  58          1              1  282  127    0   180   288   232        72
  33          1              6    0  574    0   344   570   441         2
  43          1              1  732  545  165   238   369   209        83
  34          1              4  732  914  165   308   126   186         2
  59          1              1  732  836    0   187   285   121        70
  62          1              1  732  545  374   269   444   284        98
   5          1              4    0    0  379   634   427   417        27
  90          1              2  478  844    0   249   149   420         2
  70          1              2  1056    0    0   127   155   296        97
  24          1              5  344  574    0   133   397   513        18
  69          1              5  694    0  367   323   271   442        23
   1          1              4  732  1040  165   299   137   207        90
  35          1              6    0  574  441   310   505   318        39
  22          1              5  478  993    0   230   174   248         9
  71          1              5  344  574  513   308   225   402         5
  37          1              2  732  989  374   259   166   378        16
  93          1              1  344  799  513   329   368   162         5
  23          1              1  1012  316    0   176   228   197        26
  82          1              3  478  545  195   246   166   241         2
   6          1              4    0  427  379   304   144   204        11
  98          1              4    0  427  583   490   142   287        42
  16          1              5  732  545  658   276   258   491         2
  54          1              1  919  836    0   151   220    66        39
  56          1              2  344  799  675   381   223   450         2
  25          1              1    0  574  759   295   358   235        15
  67          1              6    0    0  796   258   279   176        11
  85          1              5  1070  836    0   125   163   261       139
  87          1              5  1008  545  658   189   286   348         2
  55          1              2  282  415    0   179   154   281         2
  21          1              2  344  1022  675   376   172   488         2
  81          1              3  694    0  809   503   306    98        14
  77          1              5  1012  316  197   185   345   415         3
  91          1              6  478    0  159   216   277   215        38
  29          1              3  919  1056    0   196   138   164        32
  57          1              4  732  989  752   308   134   254         2
  96          1              2  490  427  583   198   146   395         3
  97          1              2  694  185    0   240   118   252         2
  12          1              1  258    0  796   282   304   226         6
  74          1              5    0  127  171   155   168   207        31
   0          1              1  694    0  907   226   284   119        25
  61          1              1  1017    0  367   181   216   230         8
  73          1              5  1012  316  612   177   185   382        12
  10          1              5  1031  1040  165   147   138   269         2
  80          1              1  920    0  907   257   316   136        63
  47          1              5  732  803  658   275   177   256         5
  68          1              1    0    0  972   195   287   175         2
  42          1              3    0  932  759   291   229   216        39
  18          1              1  282  127  232   152   221   118        12
  60          1              1  1017    0  597   183   281   186         2
   8          1              5  694  306  809   177   199   324         2
  14          1              6  540    0  796   142   293   177         2
  64          1              4  1012  661  197   178   149   137        12
  99          1              1    0  574  994   246   294   164         6
   3          1              5    0  427  870   232   134   295        31
  79          1              4  732  803  914   269   176   185        10
   7          1              3  478  993  248   251   189   162        19
  13          1              1  478  844  420   222   306    90         4
  20          1              2  478  711  195   199   112   300       254
  88          1              5  344  574  915   261   187   250        10
  94          1              2    0  1079  441   198   117   244       280
  41          1              4  304  427  379   287   106   175        42
  38          1              6  540    0  973   142   261   185        22
   4          1              5  1012  661  334   178   186   266        54
  28          1              3    0  932  975   338   233   175       159
  30          1              4  591  427  379   263   103   194        82
  17          1              2  854  427  379   149   112   251        49
  32          1              4  258  304  796   413   121   303         2
  19          1              1  258    0  1022   256   277    58        15
  11          1              1  920    0  1043   263   431   100        14
  50          1              2  232  427  870   220   138   273         2
  95          1              1  1008  545  1006   183   324   161         3
  76          1              6  246  574  994    94   345   199        75
  15          1              4  732  989  1006   245   164   187         4
  89          2              5    0    0    0   216   296   410         2
  48          2              2  216    0    0   226   243   331       164
  36          2              5  442    0    0   279   211   322         3
  40          2              2  721    0    0   231   126   365         2
  65          2              2  721  126    0   271   265   360         9
  52          2              4  216  243    0   339   232   246         4
  44          2              2  721  391    0   385   210   524         2
  46          2              5    0  296    0   188   382   505         4
  83          2              4    0  678    0   649   164   302        22
  26          2              3  721  601    0   382   242   184         5
  39          2              6    0  842    0   207   354   225         4
  51          2              3  207  842    0   363   296   179         9
  86          2              5  721  843    0   225   231   368         2
  63          2              5  992  126    0   119   254   329         8
  49          2              4  216  475    0   288   127   208         2
  45          2              1  946  843    0   240   344   318        59
  92          2              2  504  475    0   198   195   240         2
  53          2              5  207  842  179   209   165   257        69
