Algorithm: PSO
Instance: products
Generations: 30
Number of bins used: 3
Number of items packed: 200
Final fitness: 3.337582853587963

============================================================
Detailed Packing Solution:
============================================================

  id    bin-loc    orientation    x    y    z    x'    y'    z'    weight
  57          2              5  358  663  702   134   254   308         2
  10          2              6  345  870  241   147   269   138         2
 193          2              6  959    0  605   161   368   246        26
  98          2              1  179  155  998   287   490   142        42
  81          2              2    0    0  463   306    98   503        14
 192          2              4  503    0  891   386   214   235         2
   0          2              2  733  998  426   226   119   284        25
  31          2              2  1008  222  855   171   256   282         3
  96          2              5  959  998  426   146   198   395         3
  73          2              6    0  155  942   177   382   185        12
 105          2              3  659    0  571   228   153   264         6
  50          2              4    0  995  661   273   138   220         2
  41          2              3  819  938  286   287   175   106        42
 138          2              2  959    0  851   179   193   280         2
  59          2              5  358  998  713   121   187   285        70
 162          2              1  743  222  208   211   322   103         9
 175          2              3    0  1015  939   262   173   254         2
  34          2              2  306    0  463   186   126   308         2
 159          3              6    0    0    0   480   483   342         3
 134          3              2  480    0    0   322   288   445        46
  62          3              6  802    0    0   284   444   269        98
 136          3              4    0  483    0   434   586   341        88
 166          3              4  802  444    0   387   244   215         8
  86          3              5  480  288    0   225   231   368         2
 153          3              6  480  519    0   159   349   281         2
  48          3              5  802  688    0   243   226   331       164
  72          3              1  802    0  269   379   478   127         2
 115          3              2  802  688  331   328   353   455        16
  46          3              4  480    0  445   505   188   382         4
 171          3              6  639  519    0   123   358   280         2
 130          3              6  480  519  281   259   293   209         2
 150          3              6  480  812  281   181   383   209        10
 103          3              1    0  483  341   317   427   127         2
  33          3              2    0    0  342   441   344   570         2
  92          3              1  802  914    0   198   240   195         2
 170          3              1  985    0  445   212   330   204         4
 152          3              5  1000  914    0   197   237   323        34
 106          3              6  480    0  827   561   538   366         3
  43          3              6    0  483  468   209   369   238        83
 129          3              3  480  188  445   504   262   172         4
 142          3              2  802  478  269   158   185   316         2
 147          3              6  317  483  341   152   436   359         2
 164          3              6  480  519  490   254   497   309         6
  24          3              2  802  1041  331   397   133   513        18
  69          3              2    0  852  468   271   323   442        23
 195          3              6  985  330  445   188   322   252         2
  66          3              2  480  1016  490   216   159   316         5
   4          3              3  480  188  617   266   186   178        54
 135          3              6    0  483  706   259   224   195         2
  65          3              4  802  688  786   360   265   271         9
 178          3              6  259  483  706   214   270   233         6
  32          3              6  1041    0  827   121   413   303         2
 184          3              5  317  919  341   109   247   379         2
 140          3              5  1045  688    0   111   217   276         7
  12          3              1  480  538  827   282   304   226         6
  88          3              2  480  842  827   187   261   250        10
