Algorithm: ES
Instance: products
Generations: 30
Number of bins used: 3
Number of items packed: 200
Final fitness: 3.337582853587963

============================================================
Detailed Packing Solution:
============================================================

  id    bin-loc    orientation    x    y    z    x'    y'    z'    weight
 151          2              5  1038  722  382   122   266   295         2
 135          2              5  323  387  445   259   195   224         2
   3          2              4  304  262  1026   295   232   134        31
 100          2              6  412  686  881   190   346   163         2
  18          2              4  939  1052  191   221   118   152        12
 120          2              1    0  686  1103   212   276    92         2
  97          2              2  320  530  881   240   118   252         2
  15          2              4  955  269  204   245   164   187         4
   7          2              5  1038  988  382   162   189   251        19
  56          3              2    0    0    0   381   223   450         2
  51          3              2  381    0    0   296   179   363         9
 136          3              5  381  179    0   586   341   434        88
 158          3              3    0  223    0   310   210   247         2
 163          3              1    0  433    0   322   508   275        86
  83          3              6  967  179    0   164   649   302        22
   9          3              2  677    0    0   291   165   409         2
  42          3              4  381  520    0   291   216   229        39
 187          3              3  381  736    0   463   331   155        32
 164          3              1  381  520  229   309   497   254         6
 167          3              1    0  433  275   332   519   179         2
  84          3              1  690  520  229   269   367   185        44
  12          3              2  690  887  229   282   226   304         6
 175          3              3    0  941    0   262   173   254         2
  72          3              1    0  433  454   379   478   127         2
  89          3              5  972  887  229   216   296   410         2
 141          3              5  967  179  302   123   251   336        10
  63          3              1  690  520  414   254   329   119         8
 122          3              1  967  430  302   145   313   257         2
 185          3              3  672  520    0   279   158   152         4
  79          3              6  967  828    0   176   269   185        10
  43          3              4    0  223  247   369   209   238        83
 189          3              1  381  179  434   233   319   179         2
 137          3              2  614  179  434   206   262   271       115
  92          3              3    0  952  275   240   198   195         2
 105          3              1    0  952  470   153   228   264         6
   1          3              4  381  1017  229   299   137   207        90
  99          3              2  381    0  363   246   164   294         6
 160          3              2  677    0  409   282   177   334         2
 152          3              1  381  520  483   237   323   197        34
  95          3              1  381  843  483   183   324   161         3
 107          3              1    0  433  581   282   366   225         2
 165          3              4  381  843  644   482   195   176         2
  25          3              1  614  179  705   295   358   235        15
  86          3              3  614  537  705   368   231   225         2
  73          3              1  381    0  657   185   382   177        12
  81          3              1    0  433  806   306   503    98        14
 178          3              5  153  952  470   214   233   270         6
  90          3              1    0  433  904   249   420   149         2
  87          3              4    0    0  450   348   189   286         2
 173          3              6  820  179  434   133   318   223         3
 125          3              3  690  520  533   271   248   124         5
 144          3              3  381  843  820   455   233   265        27
  93          3              3    0    0  736   368   329   162         5
 192          3              1  306  433  806   235   386   214         2
 102          3              2  968    0    0   229   179   338        30
  55          3              4    0  223  485   281   154   179         2
