Algorithm: PSO
Instance: products
Generations: 40
Number of bins used: 3
Number of items packed: 150
Final fitness: 3.6304520712469

============================================================
Detailed Packing Solution:
============================================================

  id    bin-loc    orientation    x    y    z    x'    y'    z'    weight
----  ---------  -------------  ---  ---  ---  ----  ----  ----  --------
 145          1              1    0    0    0   241   303   241        41
 147          1              3  241    0    0   436   359   152         2
 142          1              1  677    0    0   158   316   185         2
 138          1              1  835    0    0   179   280   193         2
 143          1              1  1014    0    0   183   253   241         3
  78          1              4  835  280    0   254   299   195         3
  88          1              2    0  303    0   187   261   250        10
  91          1              1  241  359    0   215   277   216        38
  81          1              1  456  359    0   306   503    98        14
  87          1              1  835  579    0   286   348   189         2
  83          1              6  456  359   98   164   649   302        22
  82          1              1    0  564    0   166   246   241         2
  77          1              6  241  636    0   185   415   345         3
  98          1              6  620  359   98   142   490   287        42
 111          1              1  835  579  189   357   505   219        10
 109          1              5    0  810    0   147   170   251        28
 100          1              1  620  849   98   163   346   190         2
 119          1              1  241    0  152   193   274   146         2
 115          1              1  456  359  400   328   455   353        16
 120          1              1  456  862    0   212   276    92         2
 127          1              6  434    0  152   100   304   264       148
  46          1              1  456  359  753   382   505   188         4
  70          1              1  534    0  152   127   296   155        97
  37          1              1  456  814  400   259   378   166        16
  51          1              6  1014    0  241   179   363   296         9
  10          1              1  835  927    0   138   269   147         2
   8          1              1    0  303  250   199   324   177         2
   9          1              2  534    0  307   291   165   409         2
  58          1              4  835  579  408   288   232   180        72
  45          1              1    0  810  251   240   344   318        59
  61          1              1    0  980    0   181   216   230         8
  63          1              6  199  303  250   119   329   254         8
  56          1              1  456  359  941   381   450   223         2
 123          1              1  838  359  753   323   530   179        11
 117          1              1  835  811  408   247   276   125       108
 136          1              5  534    0  716   586   341   434        88
  96          1              1  241  636  345   198   395   146         3
 141          1              4  534  165  307   336   123   251        10
  49          1              4  835  811  533   288   127   208         2
 132          1              1  973  927    0   178   240   113        25
  36          1              6    0  810  569   279   322   211         3
  43          1              6  199  303  504   209   369   238        83
 114          1              5  241  1051    0   150   135   167         6
  66          1              6    0  303  427   159   316   216         5
  93          1              3  456  814  566   368   329   162         5
  57          1              6  870  165  307   134   308   254         2
  92          1              6    0    0  241   195   240   198         2
 110          1              6  199  303  742   201   485   237       247
 105          1              1  241    0  298   153   228   264         6
  29          1              2  456  1008   98   138   164   196        32
  89          1              1  838  359  932   296   410   216         2
  65          1              1    0  810  780   271   360   265         9
 101          1              5  835  938  533   306   190   352        46
  13          1              6  318  303  250    90   306   222         4
   7          1              6    0    0  439   162   251   189        19
  79          1              1  1014    0  537   185   269   176        10
  74          1              1  1014  363  241   168   207   155        31
 137          1              1  241    0  562   206   271   262       115
  42          1              5    0    0  628   216   229   291        39
 107          1              1  838  769  932   282   366   225         2
  62          1              4    0    0  919   444   284   269        98
 102          1              1  456  809  941   229   338   179        30
 104          1              1    0  810  1045   264   371   128        20
  32          1              6    0  303  643   121   413   303         2
  99          1              6  279  810  569   164   294   246         6
  90          1              1  199  303  979   249   420   149         2
  94          1              1  456  864  753   198   244   117       280
  31          1              1  279  810  815   171   282   256         3
   4          1              1  1014  269  537   186   266   178        54
  73          1              1    0  303  946   185   382   177        12
 121          1              1  620  849  288   199   265   109        33
  50          1              3  835  579  588   273   220   138         2
  41          1              1  835  280  195   175   287   106        42
 118          1              1  654  864  753   164   321   149        80
  18          1              2  241  1051  167   152   118   221        12
  54          1              1  668  862    0   151   220    66        39
 116          1              3  534  165  558   248   171   113        13
  85          1              1  279  810  1071   163   261   125       139
  19          1              1  241    0  824   256   277    58        15
  20          1              4  835  1084  189   300   112   199       254
 139          1              6  1089  280    0    89   293   208         5
  64          1              1    0  627  250   137   178   149        12
 112          1              2  835    0  193   135   144   183        86
  34          1              6  685  809  941   126   308   186         2
  17          1              2  835    0  376   149   112   251        49
 108          2              6    0    0    0   571   456   222        17
   5          2              1  571    0    0   417   634   427        27
 131          2              1    0  456    0   337   441   304         2
  16          2              1  571  634    0   258   491   276         2
  44          2              5  988    0    0   210   385   524         2
 106          2              1  829  634    0   366   538   561         3
  21          2              1    0  456  304   376   488   172         2
 134          2              1    0    0  222   322   445   288        46
  24          2              1  571    0  427   397   513   133        18
 128          2              1    0  456  476   345   537   189       277
  33          2              1  571    0  560   441   570   344         2
  22          2              5  337  456    0   230   174   248         9
  84          2              1    0    0  510   269   367   185        44
 146          2              5  988  385    0   155   208   280         2
   2          2              1    0  456  665   372   534   229        41
 124          2              6  337  630    0    92   418   260         3
  27          2              1  322    0  222   231   323    93       297
 148          2              6  571  634  276   217   433   177         2
  23          2              1    0  897    0   176   228   197        26
 144          2              1  322    0  315   233   455   265        27
  28          2              6  376  456  304   175   338   233       159
  76          2              1  571  634  453   199   345    94        75
  80          2              1  571  634  547   257   316   136        63
  12          2              1  829  634  561   282   304   226         6
  48          2              1  322    0  580   226   331   243       164
   1          2              4    0  993  476   299   137   207        90
 129          2              6  376  456  537   172   504   262         4
  25          2              5  571  634  683   235   295   358        15
  35          2              6  829  634  787   310   505   318        39
  52          2              2  571  950  547   246   232   339         4
  26          2              1    0    0  695   242   382   184         5
 133          2              6  1012    0  560   176   332   278         2
  97          2              1    0  944  304   240   252   118         2
 130          2              4  829  938  561   293   259   209         2
 149          2              1  1012  332  560   149   292   391         2
 135          2              1  988  385  280   195   224   259         2
 140          2              1  322    0  823   217   276   111         7
  67          2              1  376  456  799   176   279   258        11
  69          2              4  571    0  904   442   323   271        23
  68          2              2  299  993  476   195   175   287         2
  71          2              6    0    0  879   308   402   225         5
  75          2              1    0  456  894   252   347   191        81
  86          2              3    0  803  894   368   231   225         2
  95          2              1  376  794  304   183   324   161         3
 113          2              4  571  323  904   351   209   248        98
 122          2              6  571  634  1041   257   313   145         2
 126          2              1  376  735  799   163   211   204        17
 125          2              1  322    0  934   248   271   124         5
  59          2              5  429  630    0   121   187   285        70
  38          2              6  429  817    0   142   261   185        22
  40          2              5  376  946  799   126   231   365         2
  47          2              2  1013    0  904   177   275   256         5
  60          2              4    0  993  683   281   186   183         2
  53          2              1  1012  332  951   165   257   209        69
  30          2              1    0  897  197   194   263   103        82
  14          2              5  322  276  823   142   177   293         2
  15          2              1  571  950  886   187   245   164         4
   3          2              3    0  1034  894   295   134   232        31
   0          2              5  252  456  894   119   226   284        25
  72          3              4    0    0    0   478   127   379         2
 103          3              5  478    0    0   127   317   427         2
  39          3              6  605    0    0   207   354   225         4
  55          3              1  812    0    0   179   281   154         2
  11          3              1    0  127    0   263   431   100        14
   6          3              1  991    0    0   204   304   144        11
