Algorithm: ACO
Instance: products
Generations: 30
Number of bins used: 3
Number of items packed: 200
Final fitness: 3.337582853587963

============================================================
Detailed Packing Solution:
============================================================

  id    bin-loc    orientation    x    y    z    x'    y'    z'    weight
  73          2              6  341  674  982   177   382   185        12
  30          2              3    0  994  234   263   194   103        82
  32          2              3    0  352  1045   413   303   121         2
  31          2              3  893    0  667   282   171   256         3
  76          2              6  210    0  190    94   345   199        75
  34          2              3  665  905  1061   308   186   126         2
  81          2              6  557  674  686    98   503   306        14
  80          2              6  491  152  848   136   316   257        63
  79          2              6  665  176  951   176   269   185        10
  64          2              5  461    0  436   149   137   178        12
  41          2              3  341  1016    0   287   175   106        42
  59          2              5  491  468  848   121   187   285        70
  49          2              4    0  1042  545   288   127   208         2
  50          2              4  306    0  732   273   138   220         2
  53          2              5  665    0  864   209   165   257        69
  16          3              5    0    0    0   276   258   491         2
   5          3              4  276    0    0   634   427   417        27
   2          3              5  910    0    0   229   372   534        41
  21          3              3  276  427    0   488   376   172         2
  26          3              3  764  427    0   382   242   184         5
  25          3              3  764  669    0   358   295   235        15
  69          3              5  276  803    0   323   271   442        23
  71          3              6  764  669  235   308   402   225         5
  28          3              3  764  964    0   338   233   175       159
  72          3              6    0  258    0   127   478   379         2
  33          3              3  276    0  417   570   441   344         2
  75          3              6    0  736    0   191   347   252        81
  35          3              3  276    0  761   505   318   310        39
  37          3              3  276  427  172   378   259   166        16
  38          3              3  764  427  184   261   185   142        22
  36          3              3  276  441  417   322   211   279         3
  82          3              6    0  736  252   241   246   166         2
  77          3              6    0  258  379   185   415   345         3
  78          3              6  276  803  442   299   254   195         3
  40          3              3  764  669  460   365   231   126         2
  39          3              3  598  441  417   354   225   207         4
  67          3              5    0  982  252   258   176   279        11
  68          3              5  1025  427  184   175   195   287         2
  66          3              5  599  803    0   159   216   316         5
  65          3              5  764  900  460   265   271   360         9
  42          3              3  764  669  586   291   229   216        39
  57          3              5  127  258    0   134   254   308         2
  58          3              5    0  736  418   232   180   288        72
  60          3              5  575  803  442   186   183   281         2
  63          3              5  1029  900  460   119   254   329         8
  61          3              5    0    0  491   230   181   216         8
  62          3              5  910    0  534   284   269   444        98
  44          3              3    0  736  706   524   385   210         2
  43          3              3  276  441  696   369   238   209        83
  45          3              3  764  900  820   344   240   318        59
  46          3              3    0  736  916   505   382   188         4
  47          3              3  645  441  696   256   177   275         5
  48          3              4  276  441  905   331   243   226       164
  52          3              5    0    0  707   232   246   339         4
  51          3              5  575  803  723   179   296   363         9
  56          3              5    0  258  724   223   381   450         2
  55          3              5  599  1019    0   154   179   281         2
